,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country
41,2017,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,2,3803268.0,United Kingdom
42,2017,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,0,4097544.0,United Kingdom
43,2017,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,6,4316924.0,United Kingdom
44,2017,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,4,4495040.0,United Kingdom
45,2017,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,26,4588936.0,United Kingdom
46,2017,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,32,4438064.0,United Kingdom
47,2017,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,42,4406504.0,United Kingdom
48,2017,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,52,4312068.0,United Kingdom
49,2017,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,80,4252336.0,United Kingdom
50,2017,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,46,4091470.0,United Kingdom
51,2017,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,154,4027264.0,United Kingdom
52,2017,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,70,4639724.0,United Kingdom
53,2017,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,218,4510138.0,United Kingdom
54,2017,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Female,0,4016316.0,United Kingdom
55,2017,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Male,0,4210576.0,United Kingdom
56,2017,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,78,4739254.0,United Kingdom
57,2017,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,196,4596978.0,United Kingdom
58,2017,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,90,4240990.0,United Kingdom
59,2017,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,174,4127636.0,United Kingdom
60,2017,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,64,3670414.0,United Kingdom
61,2017,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,180,3526914.0,United Kingdom
62,2017,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,64,3582808.0,United Kingdom
63,2017,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,190,3364388.0,United Kingdom
64,2017,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,54,3246634.0,United Kingdom
65,2017,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,130,2975492.0,United Kingdom
66,2017,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,26,2350458.0,United Kingdom
67,2017,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,110,2003416.0,United Kingdom
68,2017,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,16,1848704.0,United Kingdom
69,2017,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,46,1421538.0,United Kingdom
70,2017,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,8,,United Kingdom
71,2017,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,18,,United Kingdom
72,2017,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,12,,United Kingdom
73,2017,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,0,,United Kingdom
74,2017,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,,United Kingdom
75,2017,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,0,,United Kingdom
76,2018,Intentional self-harm,10- 14,GBR,Female,12,3708194.0,United Kingdom
77,2018,Intentional self-harm,10- 14,GBR,Male,20,3895967.0,United Kingdom
78,2018,Intentional self-harm,15-19,GBR,Female,114,3513690.0,United Kingdom
79,2018,Intentional self-harm,15-19,GBR,Male,280,3708896.0,United Kingdom
80,2018,Intentional self-harm,20-24,GBR,Female,164,4009070.0,United Kingdom
81,2018,Intentional self-harm,20-24,GBR,Male,582,4240422.0,United Kingdom
82,2018,Intentional self-harm,25-29,GBR,Female,200,4405780.0,United Kingdom
83,2018,Intentional self-harm,25-29,GBR,Male,622,4523263.0,United Kingdom
84,2018,Intentional self-harm,30-34,GBR,Female,186,4414651.0,United Kingdom
85,2018,Intentional self-harm,30-34,GBR,Male,734,4386507.0,United Kingdom
86,2018,Intentional self-harm,35-39,GBR,Female,212,4346424.0,United Kingdom
87,2018,Intentional self-harm,35-39,GBR,Male,684,4275724.0,United Kingdom
88,2018,Intentional self-harm,40-44,GBR,Female,196,3965299.0,United Kingdom
89,2018,Intentional self-harm,40-44,GBR,Male,738,3907599.0,United Kingdom
90,2018,Intentional self-harm,45-49,GBR,Female,328,4500979.0,United Kingdom
91,2018,Intentional self-harm,45-49,GBR,Male,976,4381328.0,United Kingdom
92,2018,Intentional self-harm,5- 9,GBR,Female,0,3976713.0,United Kingdom
93,2018,Intentional self-harm,5- 9,GBR,Male,0,4169979.0,United Kingdom
94,2018,Intentional self-harm,50-54,GBR,Female,266,4679949.0,United Kingdom
95,2018,Intentional self-harm,50-54,GBR,Male,910,4534270.0,United Kingdom
96,2018,Intentional self-harm,55-59,GBR,Female,194,4299458.0,United Kingdom
97,2018,Intentional self-harm,55-59,GBR,Male,644,4172493.0,United Kingdom
98,2018,Intentional self-harm,60-64,GBR,Female,174,3698617.0,United Kingdom
99,2018,Intentional self-harm,60-64,GBR,Male,480,3551067.0,United Kingdom
100,2018,Intentional self-harm,65-69,GBR,Female,120,3458215.0,United Kingdom
101,2018,Intentional self-harm,65-69,GBR,Male,308,3246856.0,United Kingdom
102,2018,Intentional self-harm,70-74,GBR,Female,88,3349736.0,United Kingdom
103,2018,Intentional self-harm,70-74,GBR,Male,288,3074560.0,United Kingdom
104,2018,Intentional self-harm,75-79,GBR,Female,82,2379402.0,United Kingdom
105,2018,Intentional self-harm,75-79,GBR,Male,234,2037586.0,United Kingdom
106,2018,Intentional self-harm,80-84,GBR,Female,40,1861015.0,United Kingdom
107,2018,Intentional self-harm,80-84,GBR,Male,216,1446267.0,United Kingdom
108,2018,Intentional self-harm,85-89,GBR,Female,40,,United Kingdom
109,2018,Intentional self-harm,85-89,GBR,Male,134,,United Kingdom
110,2018,Intentional self-harm,90-94,GBR,Female,24,,United Kingdom
111,2018,Intentional self-harm,90-94,GBR,Male,44,,United Kingdom
112,2018,Intentional self-harm,95+,GBR,Female,0,,United Kingdom
113,2018,Intentional self-harm,95+,GBR,Male,12,,United Kingdom
114,2018,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Female,0,3708194.0,United Kingdom
115,2018,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Male,0,3895967.0,United Kingdom
116,2018,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,0,3513690.0,United Kingdom
117,2018,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,4,3708896.0,United Kingdom
118,2018,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,4,4009070.0,United Kingdom
119,2018,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,20,4240422.0,United Kingdom
120,2018,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,14,4405780.0,United Kingdom
121,2018,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,30,4523263.0,United Kingdom
122,2018,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,32,4414651.0,United Kingdom
123,2018,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,48,4386507.0,United Kingdom
124,2018,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,58,4346424.0,United Kingdom
125,2018,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,114,4275724.0,United Kingdom
126,2018,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,44,3965299.0,United Kingdom
127,2018,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,154,3907599.0,United Kingdom
128,2018,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,92,4500979.0,United Kingdom
129,2018,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,186,4381328.0,United Kingdom
130,2018,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Female,0,3976713.0,United Kingdom
131,2018,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Male,0,4169979.0,United Kingdom
132,2018,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,110,4679949.0,United Kingdom
133,2018,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,242,4534270.0,United Kingdom
134,2018,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,88,4299458.0,United Kingdom
135,2018,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,242,4172493.0,United Kingdom
136,2018,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,86,3698617.0,United Kingdom
137,2018,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,182,3551067.0,United Kingdom
138,2018,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,82,3458215.0,United Kingdom
139,2018,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,186,3246856.0,United Kingdom
140,2018,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,38,3349736.0,United Kingdom
141,2018,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,152,3074560.0,United Kingdom
142,2018,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,34,2379402.0,United Kingdom
143,2018,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,88,2037586.0,United Kingdom
144,2018,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,16,1861015.0,United Kingdom
145,2018,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,40,1446267.0,United Kingdom
146,2018,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,16,,United Kingdom
147,2018,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,16,,United Kingdom
148,2018,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,6,,United Kingdom
149,2018,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,4,,United Kingdom
150,2018,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,,United Kingdom
151,2018,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,2,,United Kingdom
152,2019,Intentional self-harm,10- 14,GBR,Female,14,3854868.0,United Kingdom
153,2019,Intentional self-harm,10- 14,GBR,Male,18,4052864.0,United Kingdom
154,2019,Intentional self-harm,15-19,GBR,Female,128,3555510.0,United Kingdom
155,2019,Intentional self-harm,15-19,GBR,Male,264,3758426.0,United Kingdom
156,2019,Intentional self-harm,20-24,GBR,Female,190,4036018.0,United Kingdom
157,2019,Intentional self-harm,20-24,GBR,Male,664,4270142.0,United Kingdom
158,2019,Intentional self-harm,25-29,GBR,Female,240,4444298.0,United Kingdom
159,2019,Intentional self-harm,25-29,GBR,Male,770,4584200.0,United Kingdom
160,2019,Intentional self-harm,30-34,GBR,Female,210,4509580.0,United Kingdom
161,2019,Intentional self-harm,30-34,GBR,Male,840,4484684.0,United Kingdom
162,2019,Intentional self-harm,35-39,GBR,Female,250,4443566.0,United Kingdom
163,2019,Intentional self-harm,35-39,GBR,Male,800,4347768.0,United Kingdom
164,2019,Intentional self-harm,40-44,GBR,Female,212,4045346.0,United Kingdom
165,2019,Intentional self-harm,40-44,GBR,Male,804,3993732.0,United Kingdom
166,2019,Intentional self-harm,45-49,GBR,Female,282,4459532.0,United Kingdom
167,2019,Intentional self-harm,45-49,GBR,Male,980,4344712.0,United Kingdom
168,2019,Intentional self-harm,5- 9,GBR,Female,0,4048560.0,United Kingdom
169,2019,Intentional self-harm,5- 9,GBR,Male,0,4251144.0,United Kingdom
170,2019,Intentional self-harm,50-54,GBR,Female,298,4736600.0,United Kingdom
171,2019,Intentional self-harm,50-54,GBR,Male,976,4585430.0,United Kingdom
172,2019,Intentional self-harm,55-59,GBR,Female,250,4476804.0,United Kingdom
173,2019,Intentional self-harm,55-59,GBR,Male,778,4335012.0,United Kingdom
174,2019,Intentional self-harm,60-64,GBR,Female,158,3830094.0,United Kingdom
175,2019,Intentional self-harm,60-64,GBR,Male,574,3680276.0,United Kingdom
176,2019,Intentional self-harm,65-69,GBR,Female,122,3476194.0,United Kingdom
177,2019,Intentional self-harm,65-69,GBR,Male,336,3260204.0,United Kingdom
178,2019,Intentional self-harm,70-74,GBR,Female,118,3462254.0,United Kingdom
179,2019,Intentional self-harm,70-74,GBR,Male,350,3175480.0,United Kingdom
180,2019,Intentional self-harm,75-79,GBR,Female,68,2497622.0,United Kingdom
181,2019,Intentional self-harm,75-79,GBR,Male,230,2152970.0,United Kingdom
182,2019,Intentional self-harm,80-84,GBR,Female,46,1923972.0,United Kingdom
183,2019,Intentional self-harm,80-84,GBR,Male,174,1506684.0,United Kingdom
184,2019,Intentional self-harm,85-89,GBR,Female,40,,United Kingdom
185,2019,Intentional self-harm,85-89,GBR,Male,114,,United Kingdom
186,2019,Intentional self-harm,90-94,GBR,Female,16,,United Kingdom
187,2019,Intentional self-harm,90-94,GBR,Male,44,,United Kingdom
188,2019,Intentional self-harm,95+,GBR,Female,2,,United Kingdom
189,2019,Intentional self-harm,95+,GBR,Male,10,,United Kingdom
190,2019,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Female,0,3854868.0,United Kingdom
191,2019,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Male,0,4052864.0,United Kingdom
192,2019,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,2,3555510.0,United Kingdom
193,2019,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,0,3758426.0,United Kingdom
194,2019,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,6,4036018.0,United Kingdom
195,2019,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,12,4270142.0,United Kingdom
196,2019,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,26,4444298.0,United Kingdom
197,2019,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,26,4584200.0,United Kingdom
198,2019,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,18,4509580.0,United Kingdom
199,2019,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,60,4484684.0,United Kingdom
200,2019,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,56,4443566.0,United Kingdom
201,2019,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,116,4347768.0,United Kingdom
202,2019,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,54,4045346.0,United Kingdom
203,2019,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,144,3993732.0,United Kingdom
204,2019,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,84,4459532.0,United Kingdom
205,2019,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,190,4344712.0,United Kingdom
206,2019,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Female,0,4048560.0,United Kingdom
207,2019,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Male,0,4251144.0,United Kingdom
208,2019,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,72,4736600.0,United Kingdom
209,2019,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,218,4585430.0,United Kingdom
210,2019,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,98,4476804.0,United Kingdom
211,2019,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,208,4335012.0,United Kingdom
212,2019,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,42,3830094.0,United Kingdom
213,2019,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,216,3680276.0,United Kingdom
214,2019,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,44,3476194.0,United Kingdom
215,2019,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,154,3260204.0,United Kingdom
216,2019,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,50,3462254.0,United Kingdom
217,2019,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,132,3175480.0,United Kingdom
218,2019,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,38,2497622.0,United Kingdom
219,2019,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,94,2152970.0,United Kingdom
220,2019,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,20,1923972.0,United Kingdom
221,2019,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,64,1506684.0,United Kingdom
222,2019,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,18,,United Kingdom
223,2019,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,22,,United Kingdom
224,2019,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,4,,United Kingdom
225,2019,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,4,,United Kingdom
226,2019,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,0,,United Kingdom
227,2019,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Male,2,,United Kingdom
228,2020,Intentional self-harm,10- 14,GBR,Female,16,3939160.0,United Kingdom
229,2020,Intentional self-harm,10- 14,GBR,Male,20,4144254.0,United Kingdom
230,2020,Intentional self-harm,15-19,GBR,Female,104,3580570.0,United Kingdom
231,2020,Intentional self-harm,15-19,GBR,Male,256,3786466.0,United Kingdom
232,2020,Intentional self-harm,20-24,GBR,Female,174,4008126.0,United Kingdom
233,2020,Intentional self-harm,20-24,GBR,Male,554,4269592.0,United Kingdom
234,2020,Intentional self-harm,25-29,GBR,Female,244,4397732.0,United Kingdom
235,2020,Intentional self-harm,25-29,GBR,Male,700,4565630.0,United Kingdom
236,2020,Intentional self-harm,30-34,GBR,Female,210,4513720.0,United Kingdom
237,2020,Intentional self-harm,30-34,GBR,Male,818,4521018.0,United Kingdom
238,2020,Intentional self-harm,35-39,GBR,Female,260,4445752.0,United Kingdom
239,2020,Intentional self-harm,35-39,GBR,Male,886,4356160.0,United Kingdom
240,2020,Intentional self-harm,40-44,GBR,Female,218,4114668.0,United Kingdom
241,2020,Intentional self-harm,40-44,GBR,Male,722,4058550.0,United Kingdom
242,2020,Intentional self-harm,45-49,GBR,Female,284,4367336.0,United Kingdom
243,2020,Intentional self-harm,45-49,GBR,Male,966,4263666.0,United Kingdom
244,2020,Intentional self-harm,5- 9,GBR,Female,0,4044836.0,United Kingdom
245,2020,Intentional self-harm,5- 9,GBR,Male,0,4252816.0,United Kingdom
246,2020,Intentional self-harm,50-54,GBR,Female,312,4699024.0,United Kingdom
247,2020,Intentional self-harm,50-54,GBR,Male,906,4548964.0,United Kingdom
248,2020,Intentional self-harm,55-59,GBR,Female,246,4581172.0,United Kingdom
249,2020,Intentional self-harm,55-59,GBR,Male,756,4428088.0,United Kingdom
250,2020,Intentional self-harm,60-64,GBR,Female,192,3926530.0,United Kingdom
251,2020,Intentional self-harm,60-64,GBR,Male,558,3769354.0,United Kingdom
252,2020,Intentional self-harm,65-69,GBR,Female,110,3460084.0,United Kingdom
253,2020,Intentional self-harm,65-69,GBR,Male,364,3248700.0,United Kingdom
254,2020,Intentional self-harm,70-74,GBR,Female,96,3507278.0,United Kingdom
255,2020,Intentional self-harm,70-74,GBR,Male,328,3206586.0,United Kingdom
256,2020,Intentional self-harm,75-79,GBR,Female,64,2576664.0,United Kingdom
257,2020,Intentional self-harm,75-79,GBR,Male,198,2226336.0,United Kingdom
258,2020,Intentional self-harm,80-84,GBR,Female,76,1933946.0,United Kingdom
259,2020,Intentional self-harm,80-84,GBR,Male,142,1517522.0,United Kingdom
260,2020,Intentional self-harm,85-89,GBR,Female,44,,United Kingdom
261,2020,Intentional self-harm,85-89,GBR,Male,122,,United Kingdom
262,2020,Intentional self-harm,90-94,GBR,Female,24,,United Kingdom
263,2020,Intentional self-harm,90-94,GBR,Male,62,,United Kingdom
264,2020,Intentional self-harm,95+,GBR,Female,0,,United Kingdom
265,2020,Intentional self-harm,95+,GBR,Male,16,,United Kingdom
266,2020,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Female,0,3939160.0,United Kingdom
267,2020,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Male,0,4144254.0,United Kingdom
268,2020,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,0,3580570.0,United Kingdom
269,2020,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Male,0,3786466.0,United Kingdom
270,2020,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Female,4,4008126.0,United Kingdom
271,2020,Mental and behavioural disorders due to psychoactive substance use,20-24,GBR,Male,8,4269592.0,United Kingdom
272,2020,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Female,6,4397732.0,United Kingdom
273,2020,Mental and behavioural disorders due to psychoactive substance use,25-29,GBR,Male,22,4565630.0,United Kingdom
274,2020,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Female,24,4513720.0,United Kingdom
275,2020,Mental and behavioural disorders due to psychoactive substance use,30-34,GBR,Male,60,4521018.0,United Kingdom
276,2020,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Female,44,4445752.0,United Kingdom
277,2020,Mental and behavioural disorders due to psychoactive substance use,35-39,GBR,Male,86,4356160.0,United Kingdom
278,2020,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Female,34,4114668.0,United Kingdom
279,2020,Mental and behavioural disorders due to psychoactive substance use,40-44,GBR,Male,162,4058550.0,United Kingdom
280,2020,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Female,80,4367336.0,United Kingdom
281,2020,Mental and behavioural disorders due to psychoactive substance use,45-49,GBR,Male,224,4263666.0,United Kingdom
282,2020,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Female,0,4044836.0,United Kingdom
283,2020,Mental and behavioural disorders due to psychoactive substance use,5- 9,GBR,Male,0,4252816.0,United Kingdom
284,2020,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Female,98,4699024.0,United Kingdom
285,2020,Mental and behavioural disorders due to psychoactive substance use,50-54,GBR,Male,272,4548964.0,United Kingdom
286,2020,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Female,100,4581172.0,United Kingdom
287,2020,Mental and behavioural disorders due to psychoactive substance use,55-59,GBR,Male,222,4428088.0,United Kingdom
288,2020,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Female,74,3926530.0,United Kingdom
289,2020,Mental and behavioural disorders due to psychoactive substance use,60-64,GBR,Male,208,3769354.0,United Kingdom
290,2020,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Female,78,3460084.0,United Kingdom
291,2020,Mental and behavioural disorders due to psychoactive substance use,65-69,GBR,Male,212,3248700.0,United Kingdom
292,2020,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Female,56,3507278.0,United Kingdom
293,2020,Mental and behavioural disorders due to psychoactive substance use,70-74,GBR,Male,148,3206586.0,United Kingdom
294,2020,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Female,44,2576664.0,United Kingdom
295,2020,Mental and behavioural disorders due to psychoactive substance use,75-79,GBR,Male,96,2226336.0,United Kingdom
296,2020,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Female,16,1933946.0,United Kingdom
297,2020,Mental and behavioural disorders due to psychoactive substance use,80-84,GBR,Male,70,1517522.0,United Kingdom
298,2020,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Female,8,,United Kingdom
299,2020,Mental and behavioural disorders due to psychoactive substance use,85-89,GBR,Male,26,,United Kingdom
300,2020,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Female,6,,United Kingdom
301,2020,Mental and behavioural disorders due to psychoactive substance use,90-94,GBR,Male,16,,United Kingdom
302,2020,Mental and behavioural disorders due to psychoactive substance use,95+,GBR,Female,6,,United Kingdom
